date,open,close
2018-01-01,100.0,101.51
2018-01-02,101.51,102.8
2018-01-03,102.8,102.82
2018-01-04,102.82,103.5
2018-01-05,103.5,105.13
2018-01-08,105.13,106.37
2018-01-09,106.37,104.74
2018-01-10,104.74,104.27
2018-01-11,104.27,104.81
2018-01-12,104.81,104.92
2018-01-15,104.92,105.11
2018-01-16,105.11,106.81
2018-01-17,106.81,104.92
2018-01-18,104.92,104.17
2018-01-19,104.17,103.78
2018-01-22,103.78,102.54
2018-01-23,102.54,101.6
2018-01-24,101.6,101.91
2018-01-25,101.91,103.31
2018-01-26,103.31,101.78
2018-01-29,101.78,102.47
2018-01-30,102.47,103.56
2018-01-31,103.56,103.41
2018-02-01,103.41,104.26
2018-02-02,104.26,104.31
2018-02-05,104.31,103.73
2018-02-06,103.73,102.87
2018-02-07,102.87,103.67
2018-02-08,103.67,103.13
2018-02-09,103.13,103.93
2018-02-12,103.93,105.26
2018-02-13,105.26,105.64
2018-02-14,105.64,107.67
2018-02-15,107.67,109.73
2018-02-16,109.73,110.7
2018-02-19,110.7,111.22
2018-02-20,111.22,109.31
2018-02-21,109.31,107.33
2018-02-22,107.33,106.79
2018-02-23,106.79,107.43
2018-02-26,107.43,109.15
2018-02-27,109.15,109.96
2018-02-28,109.96,110.51
2018-03-01,110.51,106.71
2018-03-02,106.71,108.28
2018-03-05,108.28,106.23
2018-03-06,106.23,105.2
2018-03-07,105.2,106.15
2018-03-08,106.15,106.54
2018-03-09,106.54,105.88
2018-03-12,105.88,104.72
2018-03-13,104.72,106.19
2018-03-14,106.19,105.62
2018-03-15,105.62,103.78
2018-03-16,103.78,105.37
2018-03-19,105.37,106.15
2018-03-20,106.15,105.22
2018-03-21,105.22,105.02
2018-03-22,105.02,104.05
2018-03-23,104.05,104.28
2018-03-26,104.28,105.32
2018-03-27,105.32,103.33
2018-03-28,103.33,103.22
2018-03-29,103.22,103.38
2018-03-30,103.38,102.83
2018-04-02,102.83,103.57
2018-04-03,103.57,104.14
2018-04-04,104.14,106.88
2018-04-05,106.88,107.52
2018-04-06,107.52,106.57
2018-04-09,106.57,105.69
2018-04-10,105.69,104.48
2018-04-11,104.48,105.52
2018-04-12,105.52,104.64
2018-04-13,104.64,104.39
2018-04-16,104.39,105.18
2018-04-17,105.18,104.11
2018-04-18,104.11,103.58
2018-04-19,103.58,101.14
2018-04-20,101.14,99.67
2018-04-23,99.67,98.84
